command,dn,member
insert,"CN=G_USR_Commun_UtilisateursW7_S06,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=sonia.seta-digonnet,OU=S06,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Exchange Windows Permissions,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr","CN=Exchange Trusted Subsystem,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr"
insert,"CN=Exchange Servers,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr","CN=Exchange Install Domain Servers,CN=Microsoft Exchange System Objects,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_SLAM_RANDOM_PWD_READ,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=popslam,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=isabelle.laporte-ouv,OU=T01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=dsin.test,OU=SJ1,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=gggg.dddd,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=martinette.topinambo,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=ronaldo.maradona,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=pierre.dupont,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=ftftr.cvcv,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=zt06.uv06,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=catherine.lejeune,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=sandrine.laplace,OU=S03,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=rachel.monnoye,OU=S01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=nathalie.meunier,OU=S04,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=sandrine.lezay,OU=S08,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=valerie.bergerou,OU=S03,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=faustine.papadacci,OU=SJ1,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=laetitia.foucault,OU=S13,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=nadia.akouche,OU=S04,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=marine.magro,OU=SJ4,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=fabienne.dubech,OU=S08,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=maryline.brossier,OU=SR1,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=marjorie.perez,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=delphine.debont,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=seyhan.bakan,OU=SJ1,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=elodie.dumont,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=emilie.poupinel,OU=S06,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=dounia.ghazi,OU=S10,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=emilie.poupinel-sr,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantSj2,OU=SJ2,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=stephanie.vinel,OU=S06,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
